country,year,pop,continent,gdpPercap,lifeExp
00000154200,2019-11,13100000,cz,36,1.088492
00000154200,2020-01,14000000,cz,9,1.435014
00000154200,2020-02,14200000,cz,2,2.003103
00000154870,2019-04,49900000,cz,499,6.947925
00000154870,2019-07,104000000,cz,541,13.114754
00000154870,2019-10,163500000,cz,595,18.056322
00000154870,2019-12,300200000,cz,1367,17.309577
00000154870,2020-02,348800000,cz,486,49.202991
00000159014,2019-06,8200000,cz,82,1.369177
00000159014,2019-07,18800000,cz,106,2.370744
00000159014,2019-08,27400000,cz,86,4.759423
00000159014,2019-09,38900000,cz,115,4.536443
00000159014,2019-11,54200000,cz,153,4.503531
00000159226,2019-03,4100000,cz,41,0.609303
00000159226,2019-04,7300000,cz,32,1.01643
00000159226,2019-05,12400000,cz,51,2.035456
00000159226,2019-07,17600000,cz,52,2.21942
00000159226,2019-08,22900000,cz,53,3.977766
00000159226,2019-09,29300000,cz,64,3.41691
00000159226,2019-10,33500000,cz,42,3.699613
00000159226,2019-11,40200000,cz,67,3.340258
00000159641,2019-04,900000,cz,9,0.125313
00000159641,2019-07,2800000,cz,19,0.35309
00000159844,2019-05,600000,cz,6,0.09849
00000160866,2019-07,700000,cz,7,0.088272
00000160866,2019-09,1200000,cz,5,0.139942
00000160866,2019-10,1400000,cz,2,0.154611
00000160866,2019-12,2600000,cz,12,0.149916
00000160866,2020-01,3500000,cz,9,0.358754
00000165213,2019-03,1100000,cz,11,0.163472
00000165213,2019-04,3100000,cz,20,0.431635
00000165213,2019-07,4700000,cz,16,0.592686
00000165213,2019-08,6600000,cz,19,1.14643
00000165213,2019-09,8300000,cz,17,0.96793
00000165213,2019-10,10200000,cz,19,1.126449
00000165213,2019-11,12100000,cz,19,1.005401
00000165213,2020-01,13900000,cz,18,1.424764
00000165213,2020-02,15900000,cz,20,2.242912
00000167472,2019-04,7500000,cz,75,1.044277
00000167472,2019-05,13200000,cz,57,2.166776
00000167472,2019-12,28900000,cz,157,1.666378
00000167472,2020-01,30700000,cz,18,3.146781
00000169249,2019-03,24600000,cz,246,3.655818
00000169249,2019-06,44400000,cz,198,7.413592
00000169249,2019-09,79600000,cz,352,9.282799
00000169249,2019-11,114100000,cz,345,9.480681
00000169249,2020-01,156600000,cz,425,16.051661
00000169249,2020-02,188000000,cz,314,26.519961
00000169254,2019-04,20700000,cz,207,2.882206
00000169254,2019-05,41400000,cz,207,6.795798
00000169254,2019-06,58300000,cz,169,9.734513
00000169254,2019-07,82800000,cz,245,10.441362
